etID  | Input | Late Latin {GOLD} | Early Gallo-Roman | Middle Gallo-Roman | Later Gallo-Roman | Old French I {GOLD} | Old French II {GOLD} | Middle French {GOLD} | Output {GOLD}
172    | #sˌɑɡmˈɑːrium# | *#sˌɑwmˈɑrʝo# {GOLD: #sˌɑwmˈɑrʝo#} | *#sˌɑwmˈɑrʝo# | *#sˌɔwmˈaːrʲo# | *#sˌũmˈie̯r# | *#sˌũmˈie̯r# {GOLD: #sˌumˈie̯r#} | *#sˌũmjˈer# {GOLD: #sˌũmjˈer#} | *#sˌũmjˈer# {GOLD: #sˌũmjˈer#} | *#sɔmje# {GOLD: #sɔmje#}
173    | #ˌɑwikˈelloːs# | *#ˌɑwcˈɛllos# {GOLD: #ˌɑwcˈɛllos#} | *#ˌɑwcˈɛllos# | *#ˌɔwt͡sʲˈɛllos# | *#ˌɔjzˈɛlls# | *#ˌɔjzˈɛɫs# {GOLD: #ˌɔjzˈɛɫs#} | *#wˌɛze̯ˈaws# {GOLD: #wˌɛze̯ˈaws#} | *#wˌɛzə̯ˈoːs# {GOLD: #wˌɛzə̯ˈoːs#} | *#wazo# {GOLD: #wazo#}
174    | #pˈuːrum# | *#pˈuro# {GOLD: #pˈuro#} | *#pˈuːro# | *#pˈʉːro# | *#pˈʉːr# | *#pˈyr# {GOLD: #pˈyr#} | *#pˈyr# {GOLD: #pˈyr#} | *#pˈyr# {GOLD: #pˈyr#} | *#pyʁ# {GOLD: #pyʁ#}
175    | #t̪ˈɑlpɑm# | *#t̪ˈɑɫpɑ# {GOLD: #t̪ˈɑɫpɑ#} | *#t̪ˈɑɫpɑ# | *#t̪ˈaɫpa# | *#t̪ˈaɫpa# | *#t̪ˈaɫpə# {GOLD: #t̪ˈaɫpə#} | *#t̪ˈawpə# {GOLD: #t̪ˈawpə#} | *#t̪ˈoːpə# {GOLD: #t̪ˈoːpə#} | *#t̪op# {GOLD: #t̪op#}
176    | #kˈɑmpum# | *#kˈɑmpo# {GOLD: #kˈɑmpo#} | *#kˈɑmpo# | *#kʲˈampo# | *#t͡ʃˈamp# | *#t͡ʃˈãmp# {GOLD: #t͡ʃˈãmp#} | *#ʃˈãn̪p# {GOLD: #ʃˈãn̪p#} | *#ʃˈãːp# {GOLD: #ʃˈãːp#} | *#ʃɑ̃# {GOLD: #ʃɑ̃#}
177    | #rˈiːpɑm# | *#rˈipɑ# {GOLD: #rˈipɑ#} | *#rˈiːpɑ# | *#rˈiːpa# | *#rˈiːva# | *#rˈivə# {GOLD: #rˈivə#} | *#rˈivə# {GOLD: #rˈivə#} | *#rˈivə# {GOLD: #rˈivə#} | *#ʁiv# {GOLD: #ʁiv#}
178    | #lˈeporem# | *#lˈɛpɔrɛ# {GOLD: #lˈɛpɔrɛ#} | *#lˈɛːpɔrɛ# | *#lˈie̯pɔrɛ# | *#lˈie̯vrə# | *#lˈie̯vrə# {GOLD: #lˈie̯vrə#} | *#ljˈevrə# {GOLD: #ljˈevrə#} | *#ljˈevrə# {GOLD: #ljˈevrə#} | *#ljɛvʁ# {GOLD: #ljɛvʁ#}
179    | #kˈɑpum# | *#kˈɑpo# {GOLD: #kˈɑpo#} | *#kˈɑːpo# | *#kʲˈie̯po# | *#t͡ʃˈie̯p# | *#t͡ʃˈie̯f# {GOLD: #t͡ʃˈie̯f#} | *#ʃjˈef# {GOLD: #ʃjˈef#} | *#ʃˈef# {GOLD: #ʃˈef#} | *#ʃɛf# {GOLD: #ʃɛf#}
180    | #kˈuppɑm# | *#kˈoppɑ# {GOLD: #kˈoppɑ#} | *#kˈoppɑ# | *#kˈoppa# | *#kˈoppa# | *#kˈopə# {GOLD: #kˈopə#} | *#kˈupə# {GOLD: #kˈupə#} | *#kˈupə# {GOLD: #kˈupə#} | *#kup# {GOLD: #kup#}
181    | #d̪rˈɑppum# | *#d̪rˈɑppo# {GOLD: #d̪rˈɑppo#} | *#d̪rˈɑppo# | *#d̪rˈappo# | *#d̪rˈapp# | *#d̪rˈap# {GOLD: #d̪rˈap#} | *#d̪rˈap# {GOLD: #d̪rˈap#} | *#d̪rˈap# {GOLD: #d̪rˈap#} | *#d̪ʁa# {GOLD: #d̪ʁa#}
182    | #d̪ˈuplum# | *#d̪ˈoplo# {GOLD: #d̪ˈoplo#} | *#d̪ˈoːplo# | *#d̪ˈoːplo# | *#d̪ˈowblə# | *#d̪ˈublə# {GOLD: #d̪ˈublə#} | *#d̪ˈublə# {GOLD: #d̪ˈublə#} | *#d̪ˈublə# {GOLD: #d̪ˈublə#} | *#d̪ubl# {GOLD: #d̪ubl#}
183    | #sˈɑpiɑm# | *#sˈɑpʝɑ# {GOLD: #sˈɑpʝɑ#} | *#sˈɑpʝɑ# | *#sˈapʝa# | *#sˈat̪t͡ʃa# | *#sˈat͡ʃə# {GOLD: #sˈat͡ʃə#} | *#sˈaʃə# {GOLD: #sˈaʃə#} | *#sˈaʃə# {GOLD: #sˈaʃə#} | *#saʃ# {GOLD: #saʃ#}
184    | #rˈumpere# | *#rˈompɛrɛ# {GOLD: #rˈompɛrɛ#} | *#rˈompɛrɛ# | *#rˈũmprɛ# | *#rˈũmprə# | *#rˈũmprə# {GOLD: #rˈumprə#} | *#rˈũn̪prə# {GOLD: #rˈũn̪prə#} | *#rˈũːprə# {GOLD: #rˈũːprə#} | *#ʁɔ̃pʁ# {GOLD: #ʁɔ̃pʁ#}
185    | #kˈorpus# | *#kˈɔrpos# {GOLD: #kˈɔrpos#} | *#kˈɔrpos# | *#kˈɔrpos# | *#kˈɔrs# | *#kˈɔrs# {GOLD: #kˈɔrs#} | *#kˈɔrs# {GOLD: #kˈɔrs#} | *#kˈɔrs# {GOLD: #kˈɔrs#} | *#kɔʁ# {GOLD: #kɔʁ#}
186    | #bˈɑrbɑm# | *#bˈɑrbɑ# {GOLD: #bˈɑrbɑ#} | *#bˈɑrbɑ# | *#bˈarba# | *#bˈarba# | *#bˈarbə# {GOLD: #bˈarbə#} | *#bˈarbə# {GOLD: #bˈarbə#} | *#bˈarbə# {GOLD: #bˈarbə#} | *#baʁb# {GOLD: #baʁb#}
187    | #t̪ˌɑbˈoːn̪em# | *#t̪ˌɑβˈon̪ɛ# {GOLD: #t̪ˌɑβˈon̪ɛ#} | *#t̪ˌɑβˈoːn̪ɛ# | *#t̪ˌaˈũːn̪ɛ# | *#t̪ˌaˈũːn̪# | *#t̪ˌaˈũn̪# {GOLD: #t̪ˌaˈun̪#} | *#t̪ˌaˈũn̪# {GOLD: #t̪ˌaˈũn̪#} | *#t̪ˈãː# {GOLD: #t̪ˈãː#} | *#t̪ɑ̃# {GOLD: #t̪ɑ̃#}
188    | #n̪ˈuːbɑm# | *#n̪ˈuβɑ# {GOLD: #n̪ˈuβɑ#} | *#n̪ˈuːβɑ# | *#n̪ˈʉːa# | *#n̪ˈʉːa# | *#n̪ˈyə# {GOLD: #n̪ˈyə#} | *#n̪ˈyə# {GOLD: #n̪ˈyə#} | *#n̪ˈyː# {GOLD: #n̪ˈyː#} | *#n̪y# {GOLD: #n̪y#}
189    | #hˌɑbˈeːre# | *#hˌɑβˈerɛ# {GOLD: #hˌɑβˈerɛ#} | *#hˌɑβˈeːrɛ# | *#ˌaβˈeːrɛ# | *#ˌavˈejr# | *#ˌavˈojr# {GOLD: #ˌavˈejr#} | *#ˌavwˈɛr# {GOLD: #ˌavwˈɛr#} | *#ˌavwˈɛr# {GOLD: #ˌavwˈɛr#} | *#avwaʁ# {GOLD: #avwaʁ#}
190    | #lˈiːbrɑm# | *#lˈiβrɑ# {GOLD: #lˈiβrɑ#} | *#lˈiːβrɑ# | *#lˈiːβra# | *#lˈiːvra# | *#lˈivrə# {GOLD: #lˈivrə#} | *#lˈivrə# {GOLD: #lˈivrə#} | *#lˈivrə# {GOLD: #lˈivrə#} | *#livʁ# {GOLD: #livʁ#}
191    | #t̪ˈɑbulɑm# | *#t̪ˈɑβlɑ# {GOLD: #t̪ˈɑblɑ#} | *#t̪ˈɑβlɑ# | *#t̪ˈaβla# | *#t̪ˈabla# | *#t̪ˈablə# {GOLD: #t̪ˈablə#} | *#t̪ˈablə# {GOLD: #t̪ˈablə#} | *#t̪ˈablə# {GOLD: #t̪ˈablə#} | *#t̪abl# {GOLD: #t̪abl#}
192    | #rˈubeum# | *#rˈobʝo# {GOLD: #rˈobʝo#} | *#rˈobʝo# | *#rˈobʝo# | *#rˈod̪d͡ʒə# | *#rˈod͡ʒə# {GOLD: #rˈod͡ʒə#} | *#rˈuʒə# {GOLD: #rˈuʒə#} | *#rˈuʒə# {GOLD: #rˈuʒə#} | *#ʁuʒ# {GOLD: #ʁuʒ#}
193    | #mˈembrum# | *#mˈɛmbro# {GOLD: #mˈɛmbro#} | *#mˈɛmbro# | *#mˈɛmbro# | *#mˈɛmbrə# | *#mˈɛ̃mbrə# {GOLD: #mˈɛ̃mbrə#} | *#mˈãn̪brə# {GOLD: #mˈãn̪brə#} | *#mˈãːbrə# {GOLD: #mˈãːbrə#} | *#mɑ̃bʁ# {GOLD: #mɑ̃bʁ#}
194    | #prˈesbyt̪er# | *#prˈɛsbet̪ɛr# {GOLD: #prˈɛsbet̪ɛr#} | *#prˈɛspə̯t̪ɛr# | *#prˈɛspə̯t̪ɛr# | *#prˈɛst̪rə# | *#prˈɛst̪rə# {GOLD: #prˈɛst̪rə#} | *#prˈɛːt̪rə# {GOLD: #prˈɛːt̪rə#} | *#prˈɛːt̪rə# {GOLD: #prˈɛːt̪rə#} | *#pʁɛt̪ʁ# {GOLD: #pʁɛt̪ʁ#}
195    | #wˈen̪t̪um# | *#βʷˈɛn̪t̪o# {GOLD: #βˈɛn̪t̪o#} | *#βʷˈɛn̪t̪o# | *#βˈɛn̪t̪o# | *#vˈɛn̪t̪# | *#vˈɛ̃n̪t̪# {GOLD: #vˈɛ̃n̪t̪#} | *#vˈãn̪t̪# {GOLD: #vˈãn̪t̪#} | *#vˈãːt̪# {GOLD: #vˈãːt̪#} | *#vɑ̃# {GOLD: #vɑ̃#}
196    | #sˌerwˈiːre# | *#sˌɛrβʷˈirɛ# {GOLD: #sˌɛrβˈirɛ#} | *#sˌɛrβʷˈiːrɛ# | *#sˌɛrβˈiːrɛ# | *#sˌɛrvˈiːr# | *#sˌɛrvˈir# {GOLD: #sˌɛrvˈir#} | *#sˌɛrvˈir# {GOLD: #sˌɛrvˈir#} | *#sˌɛrvˈir# {GOLD: #sˌɛrvˈir#} | *#sɛʁviʁ# {GOLD: #sɛʁviʁ#}
197    | #pˌɑwˈoːrem# | *#pˌɑˈorɛ# {GOLD: #pˌɑˈorɛ#} | *#pˌɑˈoːrɛ# | *#pˌaˈoːrɛ# | *#pˌaˈowr# | *#pˌaˈowr# {GOLD: #pˌaˈowr#} | *#pˌəˈør# {GOLD: #pˌəˈør#} | *#pə̯ˈør# {GOLD: #pə̯ˈør#} | *#pœʁ# {GOLD: #pœʁ#}
198    | #lˌɑwˈɑːrɛ# | *#lˌɑβʷˈɑrɛ# {GOLD: #lˌɑβˈɑrɛ#} | *#lˌɑβʷˈɑːrɛ# | *#lˌaβˈaːrɛ# | *#lˌavˈae̯r# | *#lˌavˈeːr# {GOLD: #lˌavˈeːr#} | *#lˌavˈer# {GOLD: #lˌavˈer#} | *#lˌavˈer# {GOLD: #lˌavˈer#} | *#lave# {GOLD: #lave#}
199    | #wˈiːwere# | *#βʷˈiβʷɛrɛ# {GOLD: #βˈiβɛrɛ#} | *#βʷˈiːβʷɛrɛ# | *#βˈiːβrɛ# | *#vˈiːvrə# | *#vˈivrə# {GOLD: #vˈivrə#} | *#vˈivrə# {GOLD: #vˈivrə#} | *#vˈivrə# {GOLD: #vˈivrə#} | *#vivʁ# {GOLD: #vivʁ#}
200    | #n̪ˈɑːwem# | *#n̪ˈɑβʷɛ# {GOLD: #n̪ˈɑβɛ#} | *#n̪ˈɑːβʷɛ# | *#n̪ˈaːβɛ# | *#n̪ˈae̯v# | *#n̪ˈeːf# {GOLD: #n̪ˈeːf#} | *#n̪ˈef# {GOLD: #n̪ˈef#} | *#n̪ˈef# {GOLD: #n̪ˈef#} | *#n̪ɛf# {GOLD: #n̪ɛf#}
201    | #kˌiːwit̪ˈɑːt̪em# | *#cˌiβʷet̪ˈɑt̪ɛ# {GOLD: #cˌiβet̪ˈɑt̪ɛ#} | *#cˌiɸʷt̪ˈɑːt̪ɛ# | *#t͡sʲˌiɸt̪ˈaːt̪ɛ# | *#t͡sʲˌit̪t̪ˈae̯t̪# | *#t͡sʲˌit̪ˈeːθ# {GOLD: #t͡sˌit̪ˈeːθ#} | *#sʲˌit̪ˈe# {GOLD: #sˌit̪ˈe#} | *#sˌit̪ˈe# {GOLD: #sˌit̪ˈe#} | *#sit̪e# {GOLD: #sit̪e#}
202    | #bˈowes# | *#bˈɔβʷɛs# {GOLD: #bˈɔβɛs#} | *#bˈɔːβʷɛs# | *#bˈʉo̯βɛs# | *#bˈʉo̯ss# | *#bˈye̯s# {GOLD: #bˈye̯s#} | *#bˈøːs# {GOLD: #bˈøs#} | *#bˈøːs# {GOLD: #bˈøːs#} | *#bø# {GOLD: #bø#}
203    | #kˈɑweɑm# | *#kˈɑʝɑ# {GOLD: #kˈɑβʝɑ#} | *#kˈɑːʝɑ# | *#kʲˈie̯ʝa# | *#t͡ʃˈie̯ja# | *#t͡ʃˈiə# {GOLD: #kˈad͡ʒə#} | *#ʃˈiə# {GOLD: #kˈaʒə#} | *#ʃˈiː# {GOLD: #kˈaʒə#} | *#ʃi# {GOLD: #kaʒ#}
204    | #sˈerwit̪# | *#sˈɛrβʷet̪# {GOLD: #sˈɛrβet̪#} | *#sˈɛrβʷet̪# | *#sˈɛrβet̪# | *#sˈɛrt̪# | *#sˈɛrt̪# {GOLD: #sˈɛrt̪#} | *#sˈɛrt̪# {GOLD: #sˈɛrt̪#} | *#sˈɛrt̪# {GOLD: #sˈɛrt̪#} | *#sɛʁ# {GOLD: #sɛʁ#}
205    | #d̪ˈuːrum# | *#d̪ˈuro# {GOLD: #d̪ˈuro#} | *#d̪ˈuːro# | *#d̪ˈʉːro# | *#d̪ˈʉːr# | *#d̪ˈyr# {GOLD: #d̪ˈyr#} | *#d̪ˈyr# {GOLD: #d̪ˈyr#} | *#d̪ˈyr# {GOLD: #d̪ˈyr#} | *#d̪yʁ# {GOLD: #d̪yʁ#}
206    | #mˈɑn̪d̪ˈɑːre# | *#mˌɑn̪d̪ˈɑrɛ# {GOLD: #mˌɑn̪d̪ˈɑrɛ#} | *#mˌɑn̪d̪ˈɑːrɛ# | *#mˌan̪d̪ˈaːrɛ# | *#mˌan̪d̪ˈae̯r# | *#mˌãn̪d̪ˈeːr# {GOLD: #mˌãn̪d̪ˈeːr#} | *#mˌãn̪d̪ˈer# {GOLD: #mˌãn̪d̪ˈer#} | *#mˌãːd̪ˈer# {GOLD: #mˌãːd̪ˈer#} | *#mɑ̃d̪e# {GOLD: #mɑ̃d̪e#}
207    | #t̪ˈɑrd̪um# | *#t̪ˈɑrd̪o# {GOLD: #t̪ˈɑrd̪o#} | *#t̪ˈɑrd̪o# | *#t̪ˈard̪o# | *#t̪ˈard̪# | *#t̪ˈart̪# {GOLD: #t̪ˈart̪#} | *#t̪ˈart̪# {GOLD: #t̪ˈart̪#} | *#t̪ˈart̪# {GOLD: #t̪ˈart̪#} | *#t̪aʁ# {GOLD: #t̪aʁ#}
208    | #n̪ˈuːd̪ɑm# | *#n̪ˈud̪ɑ# {GOLD: #n̪ˈud̪ɑ#} | *#n̪ˈuːðɑ# | *#n̪ˈʉːða# | *#n̪ˈʉːða# | *#n̪ˈyðə# {GOLD: #n̪ˈyðə#} | *#n̪ˈyə# {GOLD: #n̪ˈyə#} | *#n̪ˈyː# {GOLD: #n̪ˈyː#} | *#n̪y# {GOLD: #n̪y#}
209    | #n̪ˈuːd̪um# | *#n̪ˈud̪o# {GOLD: #n̪ˈud̪o#} | *#n̪ˈuːðo# | *#n̪ˈʉːðo# | *#n̪ˈʉːð# | *#n̪ˈyθ# {GOLD: #n̪ˈyθ#} | *#n̪ˈy# {GOLD: #n̪ˈy#} | *#n̪ˈy# {GOLD: #n̪ˈy#} | *#n̪y# {GOLD: #n̪y#}
210    | #d̪iˈurn̪um# | *#ɟʝˈorn̪o# {GOLD: #ɟʝˈorn̪o#} | *#ɟˈorn̪o# | *#d͡ʒˈorn̪o# | *#d͡ʒˈorr# | *#d͡ʒˈor# {GOLD: #d͡ʒˈorn̪#} | *#ʒˈur# {GOLD: #ʒˈur#} | *#ʒˈur# {GOLD: #ʒˈur#} | *#ʒuʁ# {GOLD: #ʒuʁ#}
211    | #pˈed̪es# | *#pˈɛd̪ɛs# {GOLD: #pˈɛd̪ɛs#} | *#pˈɛːðɛs# | *#pˈie̯ðɛs# | *#pˈie̯t͡s# | *#pˈie̯t͡s# {GOLD: #pˈie̯t͡s#} | *#pjˈes# {GOLD: #pjˈes#} | *#pjˈes# {GOLD: #pjˈes#} | *#pje# {GOLD: #pje#}
212    | #rˌɑːd̪iːkˈiːn̪ɑm# | *#rˌɑd̪icˈin̪ɑ# {GOLD: #rˌɑd̪icˈin̪ɑ#} | *#rˌɑðicˈiːn̪ɑ# | *#rˌaðit͡sʲˈiːn̪a# | *#rˌaðt͡sʲˈiːn̪a# | *#rˌat͡sʲˈin̪ə# {GOLD: #rˌat͡sˈin̪ə#} | *#rˌasʲˈĩn̪ə# {GOLD: #rˌasˈĩn̪ə#} | *#rˌasˈin̪ə# {GOLD: #rˌasˈin̪ə#} | *#ʁasin̪# {GOLD: #ʁasin̪#}
213    | #mˈord̪ere# | *#mˈɔrd̪ɛrɛ# {GOLD: #mˈɔrd̪ɛrɛ#} | *#mˈɔrd̪ɛrɛ# | *#mˈɔrd̪rɛ# | *#mˈɔrd̪rə# | *#mˈɔrd̪rə# {GOLD: #mˈɔrd̪rə#} | *#mˈɔrd̪rə# {GOLD: #mˈɔrd̪rə#} | *#mˈɔrd̪rə# {GOLD: #mˈɔrd̪rə#} | *#mɔʁd̪ʁ# {GOLD: #mɔʁd̪ʁ#}
214    | #t̪ˈuː# | *#t̪ˈu# {GOLD: #t̪ˈu#} | *#t̪ˈuː# | *#t̪ˈʉː# | *#t̪ˈʉː# | *#t̪ˈy# {GOLD: #t̪ˈy#} | *#t̪ˈy# {GOLD: #t̪ˈy#} | *#t̪ˈy# {GOLD: #t̪ˈy#} | *#t̪y# {GOLD: #t̪y#}
215    | #pˈort̪ɑm# | *#pˈɔrt̪ɑ# {GOLD: #pˈɔrt̪ɑ#} | *#pˈɔrt̪ɑ# | *#pˈɔrt̪a# | *#pˈɔrt̪a# | *#pˈɔrt̪ə# {GOLD: #pˈɔrt̪ə#} | *#pˈɔrt̪ə# {GOLD: #pˈɔrt̪ə#} | *#pˈɔrt̪ə# {GOLD: #pˈɔrt̪ə#} | *#pɔʁt̪# {GOLD: #pɔʁt̪#}
216    | #fˈort̪em# | *#fˈɔrt̪ɛ# {GOLD: #fˈɔrt̪ɛ#} | *#fˈɔrt̪ɛ# | *#fˈɔrt̪ɛ# | *#fˈɔrt̪# | *#fˈɔrt̪# {GOLD: #fˈɔrt̪#} | *#fˈɔrt̪# {GOLD: #fˈɔrt̪#} | *#fˈɔrt̪# {GOLD: #fˈɔrt̪#} | *#fɔʁ# {GOLD: #fɔʁ#}
217    | #wˈiːt̪ɑm# | *#βʷˈit̪ɑ# {GOLD: #βˈit̪ɑ#} | *#βʷˈiːt̪ɑ# | *#βˈiːt̪a# | *#vˈiːða# | *#vˈiðə# {GOLD: #vˈiðə#} | *#vˈiə# {GOLD: #vˈiə#} | *#vˈiː# {GOLD: #vˈiː#} | *#vi# {GOLD: #vi#}
218    | #pˈɑt̪rem# | *#pˈɑt̪rɛ# {GOLD: #pˈɑt̪rɛ#} | *#pˈɑːt̪rɛ# | *#pˈaːt̪rɛ# | *#pˈae̯ðrə# | *#pˈeːðrə# {GOLD: #pˈeːðrə#} | *#pˈerə# {GOLD: #pˈerə#} | *#pˈerə# {GOLD: #pˈerə#} | *#pɛʁ# {GOLD: #pɛʁ#}
219    | #sˈun̪t̪# | *#sˈon̪t̪# {GOLD: #sˈon̪t̪#} | *#sˈon̪t̪# | *#sˈũn̪t̪# | *#sˈũn̪t̪# | *#sˈũn̪t̪# {GOLD: #sˈun̪t̪#} | *#sˈũn̪t̪# {GOLD: #sˈũn̪t̪#} | *#sˈũːt̪# {GOLD: #sˈũːt̪#} | *#sɔ̃# {GOLD: #sɔ̃#}
220    | #t̪ˈen̪et̪# | *#t̪ˈɛn̪ɛt̪# {GOLD: #t̪ˈɛn̪ɛt̪#} | *#t̪ˈɛːn̪ɛt̪# | *#t̪ˈie̯n̪ɛt̪# | *#t̪ˈie̯n̪t̪# | *#t̪ˈie̯n̪t̪# {GOLD: #t̪ˈie̯n̪t̪#} | *#t̪jˈẽn̪t̪# {GOLD: #t̪jˈẽn̪t̪#} | *#t̪jˈẽːt̪# {GOLD: #t̪jˈẽːt̪#} | *#t̪jɛ̃# {GOLD: #t̪jɛ̃#}
221    | #pˈort̪ɑt̪# | *#pˈɔrt̪ɑt̪# {GOLD: #pˈɔrt̪ɑt̪#} | *#pˈɔrt̪ɑt̪# | *#pˈɔrt̪at̪# | *#pˈɔrt̪aθ# | *#pˈɔrt̪əθ# {GOLD: #pˈɔrt̪əθ#} | *#pˈɔrt̪ə# {GOLD: #pˈɔrt̪ə#} | *#pˈɔrt̪ə# {GOLD: #pˈɔrt̪ə#} | *#pɔʁt̪# {GOLD: #pɔʁt̪#}
222    | #t̪ˈoːt̪t̪ɑm# | *#t̪ˈot̪t̪ɑ# {GOLD: #t̪ˈot̪t̪ɑ#} | *#t̪ˈot̪t̪ɑ# | *#t̪ˈot̪t̪a# | *#t̪ˈot̪t̪a# | *#t̪ˈot̪ə# {GOLD: #t̪ˈot̪ə#} | *#t̪ˈut̪ə# {GOLD: #t̪ˈut̪ə#} | *#t̪ˈut̪ə# {GOLD: #t̪ˈut̪ə#} | *#t̪ut̪# {GOLD: #t̪ut̪#}
223    | #t̪ˈoːt̪t̪um# | *#t̪ˈot̪t̪o# {GOLD: #t̪ˈot̪t̪o#} | *#t̪ˈot̪t̪o# | *#t̪ˈot̪t̪o# | *#t̪ˈot̪t̪# | *#t̪ˈot̪# {GOLD: #t̪ˈot̪#} | *#t̪ˈɔt̪# {GOLD: #t̪ˈut̪#} | *#t̪ˈɔt̪# {GOLD: #t̪ˈut̪#} | *#t̪o# {GOLD: #t̪u#}
224    | #ˌɑd̪sˈɑt̪is# | *#ˌɑssˈɑt̪es# {GOLD: #ˌɑd̪sˈɑt̪es#} | *#ˌɑssˈɑːt̪es# | *#ˌassˈaːt̪es# | *#ˌassˈae̯t͡s# | *#ˌasˈeːt͡s# {GOLD: #ˌasˈeːt͡s#} | *#ˌasˈes# {GOLD: #ˌasˈes#} | *#ˌasˈes# {GOLD: #ˌasˈes#} | *#ase# {GOLD: #ase#}
225    | #fˈort̪iɑm# | *#fˈɔrt͡sʲʝɑ# {GOLD: #fˈɔrt͡sʲʝɑ#} | *#fˈɔrt͡sʲɑ# | *#fˈɔrt͡sʲa# | *#fˈɔrt͡sʲa# | *#fˈɔrt͡sʲə# {GOLD: #fˈɔrt͡sə#} | *#fˈɔrsʲə# {GOLD: #fˈɔrsə#} | *#fˈɔrsə# {GOLD: #fˈɔrsə#} | *#fɔʁs# {GOLD: #fɔʁs#}
226    | #rˌɑt̪iˈoːn̪em# | *#rˌɑt͡sʲʝˈon̪ɛ# {GOLD: #rˌɑt͡sʲʝˈon̪ɛ#} | *#rˌɑt͡sʲˈoːn̪ɛ# | *#rˌat͡sʲˈũːn̪ɛ# | *#rˌajzˈũːn̪# | *#rˌajzˈũn̪# {GOLD: #rˌajzˈun̪#} | *#rˌɛzˈũn̪# {GOLD: #rˌɛzˈũn̪#} | *#rˌɛzˈũː# {GOLD: #rˌɛzˈũː#} | *#ʁɛzɔ̃# {GOLD: #ʁɛzɔ̃#}
227    | #prˈet̪ium# | *#prˈɛt͡sʲʝo# {GOLD: #prˈɛt͡sʲʝo#} | *#prˈɛːt͡sʲo# | *#prˈie̯t͡sʲo# | *#prˈie̯jt͡sʲ# | *#prˈit͡sʲ# {GOLD: #prˈit͡s#} | *#prˈisʲ# {GOLD: #prˈis#} | *#prˈis# {GOLD: #prˈis#} | *#pʁi# {GOLD: #pʁi#}
228    | #ˈɑlt̪erum# | *#ˈɑɫt̪ɛro# {GOLD: #ˈɑɫt̪ɛro#} | *#ˈɑɫt̪ɛro# | *#ˈaɫt̪ro# | *#ˈaɫt̪rə# | *#ˈaɫt̪rə# {GOLD: #ˈaɫt̪rə#} | *#ˈawt̪rə# {GOLD: #ˈawt̪rə#} | *#ˈoːt̪rə# {GOLD: #ˈoːt̪rə#} | *#ɔt̪ʁ# {GOLD: #ot̪ʁ#}
229    | #t̪ˌest̪imˈoːn̪ium# | *#t̪ˌɛst̪emˈon̪ʝo# {GOLD: #t̪ˌɛst̪emˈon̪ʝo#} | *#t̪ˌɛst̪emˈoːɲo# | *#t̪ˌɛst̪emˈũːɲo# | *#t̪ˌɛsd̪mˈũɲ# | *#t̪ˌɛzmˈũj̃ɲ# {GOLD: #t̪ˌezmˈuj̃ɲ#} | *#t̪ˌɛ̃ːmwˈĩɲ# {GOLD: #t̪ˌemwˈĩɲ#} | *#t̪ˌɛ̃ːmwˈɛ̃ː# {GOLD: #t̪ˌemwˈɛ̃ː#} | *#t̪ɛmwɛ̃# {GOLD: #t̪emwɛ̃#}
230    | #sˈoror# | *#sˈɔrɔr# {GOLD: #sˈɔrɔr#} | *#sˈɔːrɔr# | *#sˈʉo̯rɔr# | *#sˈʉo̯rr# | *#sˈye̯r# {GOLD: #sˈye̯r#} | *#sˈør# {GOLD: #sˈør#} | *#sˈør# {GOLD: #sˈør#} | *#sœʁ# {GOLD: #sœʁ#}
231    | #ˈursɑm# | *#ˈorsɑ# {GOLD: #ˈorsɑ#} | *#ˈorsɑ# | *#ˈorsa# | *#ˈorsa# | *#ˈorsə# {GOLD: #ˈorsə#} | *#ˈursə# {GOLD: #ˈursə#} | *#ˈursə# {GOLD: #ˈursə#} | *#uʁs# {GOLD: #uʁs#}
232    | #kˈursum# | *#kˈorso# {GOLD: #kˈorso#} | *#kˈorso# | *#kˈorso# | *#kˈors# | *#kˈors# {GOLD: #kˈors#} | *#kˈurs# {GOLD: #kˈurs#} | *#kˈurs# {GOLD: #kˈurs#} | *#kuʁ# {GOLD: #kuʁ#}
233    | #rˈiːsum# | *#rˈiso# {GOLD: #rˈiso#} | *#rˈiːso# | *#rˈiːzo# | *#rˈiːz# | *#rˈis# {GOLD: #rˈis#} | *#rˈiːs# {GOLD: #rˈis#} | *#rˈiːs# {GOLD: #rˈiːs#} | *#ʁi# {GOLD: #ʁi#}
234    | #spˈɑt̪ʰɑm# | *#ˌespˈɑt̪ɑ# {GOLD: #ˌespˈɑt̪ɑ#} | *#ˌespˈɑːt̪ɑ# | *#ˌespˈaːt̪a# | *#ˌespˈae̯ða# | *#ˌespˈeːðə# {GOLD: #ˌespˈeːðə#} | *#ˌepˈeə# {GOLD: #ˌepˈeə#} | *#ˌepˈeː# {GOLD: #ˌepˈeː#} | *#epe# {GOLD: #epe#}
235    | #prˈessɑm# | *#prˈɛssɑ# {GOLD: #prˈɛssɑ#} | *#prˈɛssɑ# | *#prˈɛssa# | *#prˈɛssa# | *#prˈɛsə# {GOLD: #prˈɛsə#} | *#prˈɛːsə# {GOLD: #prˈɛsə#} | *#prˈɛːsə# {GOLD: #prˈɛːsə#} | *#pʁɛs# {GOLD: #pʁɛs#}
