etID  | Input | Late Latin {GOLD} | Early Gallo-Roman | Middle Gallo-Roman | Later Gallo-Roman | Old French I {GOLD} | Old French II {GOLD} | Middle French {GOLD} | Output {GOLD}
33     | #pˈed̪em# | *#pˈɛd̪ɛ# {GOLD: #pˈɛd̪ɛ#} | *#pˈɛːðɛ# | *#pˈie̯ðɛ# | *#pˈie̯ð# | *#pˈie̯θ# {GOLD: #pˈie̯θ#} | *#pjˈe# {GOLD: #pjˈe#} | *#pjˈe# {GOLD: #pjˈe#} | *#pje# {GOLD: #pje#}
34     | #hˈeri# | *#hˈɛre# {GOLD: #hˈɛre#} | *#hˈɛːre# | *#ˈie̯re# | *#ˈie̯r# | *#ˈie̯r# {GOLD: #ˈie̯r#} | *#jˈer# {GOLD: #jˈer#} | *#jˈer# {GOLD: #jˈer#} | *#jɛʁ# {GOLD: #jɛʁ#}
35     | #fˈerɑm# | *#fˈɛrɑ# {GOLD: #fˈɛrɑ#} | *#fˈɛːrɑ# | *#fˈie̯ra# | *#fˈie̯ra# | *#fˈie̯rə# {GOLD: #fˈie̯rə#} | *#fjˈerə# {GOLD: #fjˈerə#} | *#fjˈerə# {GOLD: #fjˈerə#} | *#fjɛʁ# {GOLD: #fjɛʁ#}
36     | #bˈen̪e# | *#bˈɛn̪ɛ# {GOLD: #bˈɛn̪ɛ#} | *#bˈɛːn̪ɛ# | *#bˈie̯n̪ɛ# | *#bˈie̯n̪# | *#bˈie̯n̪# {GOLD: #bˈie̯n̪#} | *#bjˈẽn̪# {GOLD: #bjˈẽn̪#} | *#bjˈẽː# {GOLD: #bjˈẽː#} | *#bjɛ̃# {GOLD: #bjɛ̃#}
37     | #t̪ˈen̪en̪t̪# | *#t̪ˈɛn̪ɛn̪t̪# {GOLD: #t̪ˈɛn̪ɛn̪t̪#} | *#t̪ˈɛːn̪ɛn̪t̪# | *#t̪ˈie̯n̪ɛn̪t̪# | *#t̪ˈie̯n̪ən̪t̪# | *#t̪ˈie̯n̪ən̪t̪# {GOLD: #t̪ˈie̯n̪ən̪t̪#} | *#t̪jˈẽn̪ət̪# {GOLD: #t̪jˈẽn̪ət̪#} | *#t̪jˈẽn̪ə# {GOLD: #t̪jˈẽn̪ə#} | *#t̪jɛn̪# {GOLD: #t̪jɛn̪#}
38     | #d̪ˈeum# | *#d̪ˈɛo# {GOLD: #d̪ˈɛo#} | *#d̪ˈɛːo# | *#d̪ˈie̯w# | *#d̪ˈie̯w# | *#d̪ˈie̯w# {GOLD: #d̪ˈie̯w#} | *#d̪jˈø# {GOLD: #d̪jˈø#} | *#d̪jˈø# {GOLD: #d̪jˈø#} | *#d̪jø# {GOLD: #d̪jø#}
39     | #wˈet̪ulum# | *#βʷˈɛklo# {GOLD: #βˈɛklo#} | *#βʷˈɛːklo# | *#βˈie̯çʎo# | *#vˈie̯ʎ# | *#vˈie̯ʎ# {GOLD: #vˈie̯ʎ#} | *#vjˈeʎ# {GOLD: #vjˈeʎ#} | *#vjˈeʎ# {GOLD: #vjˈeʎ#} | *#vjɛj# {GOLD: #vjɛj#}
40     | #wˈet̪uloːs# | *#βʷˈɛklos# {GOLD: #βˈɛklos#} | *#βʷˈɛːklos# | *#βˈie̯çʎos# | *#vˈie̯ʎt͡sʲ# | *#vˈie̯ɫt͡sʲ# {GOLD: #vˈie̯ɫt͡s#} | *#vjˈøsʲ# {GOLD: #vjˈøs#} | *#vjˈøs# {GOLD: #vjˈøs#} | *#vjø# {GOLD: #vjø#}
41     | #t̪ˈen̪eɑt̪# | *#t̪ˈɛn̪ʝɑt̪# {GOLD: #t̪ˈɛn̪ʝɑt̪#} | *#t̪ˈɛːɲɑt̪# | *#t̪ˈie̯ɲat̪# | *#t̪ˈie̯ɲaθ# | *#t̪ˈie̯ɲəθ# {GOLD: #t̪ˈie̯ɲəθ#} | *#t̪jˈẽɲə# {GOLD: #t̪jˈẽɲə#} | *#t̪jˈẽɲə# {GOLD: #t̪jˈẽɲə#} | *#t̪jɛɲ# {GOLD: #t̪jɛn̪#}
42     | #ˌin̪ɡˈen̪ioːs# | *#ˌeŋɟˈɛn̪ʝos# {GOLD: #ˌeŋɟˈɛn̪ʝos#} | *#ˌeŋɟˈɛːɲos# | *#ˌeɲˈie̯ɲos# | *#ˌeɲˈie̯ɲt͡sʲ# | *#ˌẽj̃ɲˈin̪t͡sʲ# {GOLD: #ˌẽŋd͡ʒˈin̪t͡s#} | *#ˌɛ̃j̃ɲˈĩn̪sʲ# {GOLD: #ˌãn̪ʒˈĩn̪s#} | *#ˌɛ̃ɲˈẽːs# {GOLD: #ˌãːʒˈẽːs#} | *#ɛɲɛ̃# {GOLD: #ɑ̃ʒɛ̃#}
43     | #t̪ˈen̪eo# | *#t̪ˈɛn̪ʝɔ# {GOLD: #t̪ˈɛn̪ʝɔ#} | *#t̪ˈɛːɲɔ# | *#t̪ˈie̯ɲɔ# | *#t̪ˈie̯ɲ# | *#t̪ˈie̯ɲ# {GOLD: #t̪ˈie̯ɲ#} | *#t̪jˈẽɲ# {GOLD: #t̪jˈẽɲ#} | *#t̪jˈẽː# {GOLD: #t̪jˈẽː#} | *#t̪jɛ̃# {GOLD: #tjɛ̃#}
44     | #pˈejus# | *#pˈɛʝos# {GOLD: #pˈɛʝos#} | *#pˈɛːʝos# | *#pˈie̯ʝos# | *#pˈie̯js# | *#pˈis# {GOLD: #pˈis#} | *#pˈiːs# {GOLD: #pˈis#} | *#pˈiːs# {GOLD: #pˈis#} | *#pi# {GOLD: #pi#}
