ID,CFR_prediction,gold,rawLevenshteinED,phonemewiseLevenshteinED,featureED,pred_phone_length,gold_phone_length
122,*/ɔn̪œʁ/,/ɔn̪œʁ/,0,0.0,0.0,4,4
123,*/d̪ɔn̪e/,/d̪ɔn̪e/,0,0.0,0.0,4,4
124,*/sud̪e/,/sud̪e/,0,0.0,0.0,4,4
125,*/kupabl/,/kupabl/,0,0.0,0.0,6,6
126,*/kɔɲe/,/kɔɲe/,0,0.0,0.0,4,4
127,*/pwɛ̃t̪yʁ/,/pwɛ̃t̪yʁ/,0,0.0,0.0,6,6
128,*/bujɑ̃/,/bujɑ̃/,0,0.0,0.0,4,4
129,*/mwajœl/,/mwajø/,2,0.4,0.7692307692307693,6,5
130,*/t̪wazɔ̃/,/t̪wazɔ̃/,0,0.0,0.0,5,5
131,*/ɡut̪/,/ɡut̪/,0,0.0,0.0,3,3
132,*/kuʁ/,/kuʁ/,0,0.0,0.0,3,3
133,*/kut̪/,/kud̪/,1,0.3333333333333333,0.038461538461538464,3,3
134,*/fɔ̃/,/fɔ̃/,0,0.0,0.0,2,2
135,*/sɔm/,/sɔm/,0,0.0,0.0,3,3
136,*/pud̪ʁ/,/pud̪ʁ/,0,0.0,0.0,4,4
137,*/lœʁ/,/lœʁ/,0,0.0,0.0,3,3
138,*/n̪ø/,/n̪ø/,0,0.0,0.0,2,2
139,*/d̪ɔ̃/,/d̪ɔ̃/,0,0.0,0.0,2,2
140,*/d̪ɔn̪/,/d̪ɔn̪/,0,0.0,0.0,3,3
141,*/luv/,/luv/,0,0.0,0.0,3,3
142,*/kuj/,/kuj/,0,0.0,0.0,3,3
143,*/fud̪ʁ/,/fud̪ʁ/,0,0.0,0.0,4,4
144,*/vɛʁɡɔɲ/,/vɛʁɡɔɲ/,0,0.0,0.0,6,6
145,*/pwɛ̃/,/pwɛ̃/,0,0.0,0.0,3,3
146,*/kwɛ̃/,/kwɛ̃/,0,0.0,0.0,3,3
147,*/n̪wa/,/n̪wɑ/,1,0.3333333333333333,0.07692307692307693,3,3
148,*/kɔn̪wat̪ʁ/,/kɔn̪ɛt̪ʁ/,2,0.3333333333333333,0.7307692307692307,7,6
149,*/n̪yl/,/n̪yl/,0,0.0,0.0,3,3
150,*/myʁ/,/myʁ/,0,0.0,0.0,3,3
151,*/œ̃/,/œ̃/,0,0.0,0.0,1,1
152,*/yn̪/,/yn̪/,0,0.0,0.0,2,2
153,*/ky/,/ky/,0,0.0,0.0,2,2
154,*/ʒɥɛ̃/,/ʒɥɛ̃/,0,0.0,0.0,3,3
155,*/fʁɥi/,/fʁɥi/,0,0.0,0.0,4,4
156,*/myʁɑj/,/myʁɑj/,0,0.0,0.0,5,5
157,*/pyʁʒe/,/pyʁʒe/,0,0.0,0.0,5,5
158,*/lœ̃d̪i/,/lœ̃d̪i/,0,0.0,0.0,4,4
159,*/fyme/,/fyme/,0,0.0,0.0,4,4
160,*/pysɛl/,/pysɛl/,0,0.0,0.0,5,5
161,*/ɥise/,/ɥisje/,1,0.2,0.46153846153846156,4,5
162,*/efʁit̪e/,/efʁit̪e/,0,0.0,0.0,6,6
163,*/ɔʁ/,/ɔʁ/,0,0.0,0.0,2,2
164,*/pɔvʁ/,/povʁ/,1,0.25,0.038461538461538464,4,4
165,*/ʃoz/,/ʃoz/,0,0.0,0.0,3,3
166,*/ʒu/,/ʒu/,0,0.0,0.0,2,2
167,*/sɔm/,/sɔm/,0,0.0,0.0,3,3
168,*/ʒwa/,/ʒwɑ/,1,0.3333333333333333,0.07692307692307693,3,3
169,*/lɔʁje/,/lɔʁje/,0,0.0,0.0,5,5
170,*/oze/,/oze/,0,0.0,0.0,3,3
171,*/lwe/,/lwe/,0,0.0,0.0,3,3
