ID,CFR_prediction,gold,rawLevenshteinED,phonemewiseLevenshteinED,featureED,pred_phone_length,gold_phone_length
34,*/o/,/o/,0,0.0,0.0,1,1
35,*/o/,/o/,0,0.0,0.0,1,1
36,*/ɛvje/,/evje/,1,0.25,0.038461538461538464,4,4
37,*/ɑj/,/ɑj/,0,0.0,0.0,2,2
38,*/on̪/,/on̪/,0,0.0,0.0,2,2
39,*/amɛʁ/,/amɛʁ/,0,0.0,0.0,4,4
40,*/ame/,/amɛʁ/,2,0.5,0.6153846153846154,3,4
41,*/ɛm/,/ɛm/,0,0.0,0.0,2,2
42,*/ami/,/ami/,0,0.0,0.0,3,3
43,*/ami/,/ami/,0,0.0,0.0,3,3
44,*/ami/,/ami/,0,0.0,0.0,3,3
45,*/ami/,/ami/,0,0.0,0.0,3,3
46,*/amit̪je/,/amit̪je/,0,0.0,0.0,6,6
47,*/ɑ̃pl/,/ɑ̃pl/,0,0.0,0.0,3,3
48,*/ɑ̃pul/,/ɑ̃pul/,0,0.0,0.0,4,4
49,*/ɛn̪/,/an̪/,1,0.5,0.07692307692307693,2,2
50,*/ɑ̃ʒɑ̃/,/ɑ̃ʒɛʁ/,2,0.5,0.7692307692307693,3,4
51,*/ɑ̃ʒu/,/ɑ̃ʒu/,0,0.0,0.0,3,3
52,*/an̪o/,/an̪o/,0,0.0,0.0,3,3
53,*/ɑ̃ɡl/,/ɑ̃ɡl/,0,0.0,0.0,3,3
54,*/ɑ̃ɡwas/,/ɑ̃ɡwas/,0,0.0,0.0,5,5
55,*/ɑ̃ɡwasø/,/ɑ̃ɡwasø/,0,0.0,0.0,6,6
56,*/om/,/om/,0,0.0,0.0,2,2
57,*/omɑj/,/omɑj/,0,0.0,0.0,4,4
58,*/ɑ̃kʁ/,/ɑ̃kʁ/,0,0.0,0.0,3,3
59,*/an̪e/,/an̪e/,0,0.0,0.0,3,3
60,*/ɑ̃/,/ɑ̃/,0,0.0,0.0,1,1
61,*/ɑ̃/,/ɑ̃/,0,0.0,0.0,1,1
62,*/aʃ/,/aʃ/,0,0.0,0.0,2,2
63,*/avʁil/,/avʁil/,0,0.0,0.0,5,5
64,*/aʁbʁ/,/aʁbʁ/,0,0.0,0.0,4,4
65,*/aʁd̪waz/,/aʁd̪waz/,0,0.0,0.0,6,6
66,*/ɛʁ/,/ɛʁ/,0,0.0,0.0,2,2
67,*/ovɛʁɲ/,/ovɛʁɲ/,0,0.0,0.0,5,5
68,*/aʁʒɑ̃/,/aʁʒɑ̃/,0,0.0,0.0,4,4
69,*/aʁʃɛʁ/,/aʁʃɛʁ/,0,0.0,0.0,5,5
70,*/aʁʃe/,/aʁʃe/,0,0.0,0.0,4,4
71,*/aʁʃ/,/aʁʃ/,0,0.0,0.0,3,3
72,*/aʁso/,/aʁso/,0,0.0,0.0,4,4
73,*/aʁsɔ̃/,/aʁsɔ̃/,0,0.0,0.0,4,4
74,*/aʁk/,/aʁk/,0,0.0,0.0,3,3
75,*/aʁmyʁ/,/aʁmyʁ/,0,0.0,0.0,5,5
76,*/aʁɔɲ/,/ʁɔɲ/,1,0.3333333333333333,0.6346153846153846,4,3
77,*/aʁ/,/aʁ/,0,0.0,0.0,2,2
78,*/aʁt̪ɛj/,/ɔʁt̪ɛj/,1,0.2,0.23076923076923078,5,5
79,*/an̪/,/an̪/,0,0.0,0.0,2,2
80,*/aɛ/,/t̪ɛ/,1,0.5,0.4423076923076923,2,2
81,*/avwan̪/,/avwan̪/,0,0.0,0.0,5,5
82,*/ot̪œ̃/,/ot̪œ̃/,0,0.0,0.0,3,3
83,*/ut̪/,/ut̪/,0,0.0,0.0,2,2
84,*/wazo/,/wazo/,0,0.0,0.0,4,4
85,*/wazo/,/wazo/,0,0.0,0.0,4,4
86,*/ajœl/,/ajœl/,0,0.0,0.0,4,4
87,*/ajœl/,/ajœl/,0,0.0,0.0,4,4
88,*/ɔʁɛj/,/ɔʁɛj/,0,0.0,0.0,4,4
89,*/ɔʁ/,/ɔʁ/,0,0.0,0.0,2,2
90,*/oze/,/oze/,0,0.0,0.0,3,3
91,*/ɑkut̪e/,/ekut̪e/,1,0.2,0.11538461538461539,5,5
92,*/u/,/u/,0,0.0,0.0,1,1
93,*/ɔ̃kl/,/ɔ̃kl/,0,0.0,0.0,3,3
94,*/bɛ/,/bɛ/,0,0.0,0.0,2,2
95,*/bɛ/,/bɛ/,0,0.0,0.0,2,2
96,*/bɛ/,/bɛ/,0,0.0,0.0,2,2
97,*/bak/,/bak/,0,0.0,0.0,3,3
98,*/bɛ̃/,/bɛ̃/,0,0.0,0.0,2,2
99,*/bɛ̃/,/bɛ̃/,0,0.0,0.0,2,2
100,*/bom/,/bom/,0,0.0,0.0,3,3
101,*/baʁb/,/baʁb/,0,0.0,0.0,4,4
102,*/baʁʒ/,/baʁʒ/,0,0.0,0.0,4,4
103,*/baʁ/,/baʁ/,0,0.0,0.0,3,3
104,*/bɛze/,/bɛze/,0,0.0,0.0,4,4
105,*/bɑs/,/bɑs/,0,0.0,0.0,3,3
106,*/bɛse/,/bɛse/,0,0.0,0.0,4,4
107,*/bɑ/,/bɑ/,0,0.0,0.0,2,2
108,*/bɑt̪iʁ/,/bɑt̪iʁ/,0,0.0,0.0,5,5
109,*/bɑt̪ɔ̃/,/bɑt̪ɔ̃/,0,0.0,0.0,4,4
110,*/bat̪ɑj/,/bat̪ɑj/,0,0.0,0.0,5,5
111,*/bat̪ʁ/,/bat̪ʁ/,0,0.0,0.0,4,4
112,*/bu/,/bu/,0,0.0,0.0,2,2
113,*/bɛk/,/bɛk/,0,0.0,0.0,3,3
